Frecuencia,R,theta,X,Y
50000.0,0.0147391,64.458,0.00640777,0.0132723
50003.355704697984,0.0151845,64.086,0.00650886,0.0136223
50006.711409395975,0.0155869,64.11,0.00680926,0.0140172
50010.06711409396,0.0158798,64.272,0.00700858,0.0143119
50013.42281879194,0.0164434,64.14,0.0071564,0.0146609
50016.778523489935,0.0168077,64.146,0.00745013,0.0151177
50020.13422818792,0.0174276,64.044,0.00766471,0.015669
50023.4899328859,0.0180084,63.75,0.00793463,0.0161649
50026.845637583894,0.0185272,63.858,0.00817686,0.0166808
50030.20134228188,0.0192996,63.702,0.00863463,0.0172502
50033.55704697986,0.0200692,63.48,0.00888449,0.017872
50036.91275167785,0.0208226,63.096,0.0093537,0.0186826
50040.26845637584,0.0218087,63.264,0.00980574,0.0194703
50043.62416107383,0.022812,62.784,0.0103722,0.0202829
50046.97986577181,0.024109,62.778,0.0110512,0.021433
50050.3355704698,0.0253621,62.532,0.0117818,0.0224878
50053.69127516779,0.027054,62.082,0.0125371,0.0238992
50057.04697986577,0.0288049,61.896,0.0136681,0.0254174
50060.402684563756,0.0309983,61.47,0.0147877,0.0272466
50063.75838926175,0.0336592,60.924,0.0162755,0.0294534
50067.11409395973,0.0368769,60.486,0.0181733,0.0320837
50070.469798657716,0.0409129,59.7,0.0206319,0.0354445
50073.82550335571,0.0461314,58.788,0.0239068,0.0395606
50077.18120805369,0.0531313,57.588,0.0285112,0.044781
50080.536912751675,0.0629392,55.74,0.0352976,0.0519793
50083.89261744967,0.0774541,53.082,0.0465319,0.0619242
50087.24832214765,0.10122,48.708,0.0668187,0.0760503
50090.604026845635,0.145974,40.068,0.111702,0.0939565
50093.959731543626,0.241853,18.216,0.22989,0.075623
50097.31543624161,0.310915,-37.092,0.247895,-0.18744
50100.671140939594,0.184846,-77.724,0.0392458,-0.180665
50104.026845637585,0.114228,-92.106,-0.00421146,-0.114228
50107.38255033557,0.0801702,-98.448,-0.0117798,-0.0792851
50110.73825503356,0.0608218,-102.048,-0.0127259,-0.0594485
50114.093959731545,0.0485232,-104.172,-0.0118867,-0.0470812
50117.44966442953,0.040169,-105.696,-0.0109406,-0.0385745
50120.80536912752,0.0339434,-106.992,-0.00978857,-0.0324786
50124.161073825504,0.0291978,-107.664,-0.00897986,-0.0279008
50127.51677852349,0.0256196,-108.438,-0.00804144,-0.0243303
50130.87248322148,0.022545,-108.78,-0.00727084,-0.0213472
50134.22818791946,0.0201112,-109.56,-0.0066376,-0.0190507
50137.58389261745,0.0180894,-109.962,-0.00610355,-0.0169641
50140.93959731544,0.0163995,-110.208,-0.00560001,-0.0152894
50144.29530201342,0.0149117,-110.382,-0.00509265,-0.0139123
50147.65100671141,0.0136033,-110.706,-0.00469974,-0.012661
50151.0067114094,0.0124627,-110.886,-0.00439075,-0.0116616
50154.36241610738,0.0113526,-110.688,-0.00401309,-0.0106354
50157.718120805366,0.0105057,-110.814,-0.00373079,-0.00982291
50161.07382550336,0.00962454,-111.048,-0.00355531,-0.0090676
50164.42953020134,0.00897795,-111.822,-0.00320627,-0.0083409
50167.785234899326,0.00822455,-111.78,-0.00310899,-0.00773051
50171.14093959732,0.0077267,-111.27,-0.0027733,-0.00715068
