Frecuencia,Transferencia
48014.02805611,0.00962264
48028.05611222,0.00934579
48042.08416834,0.01283019
48056.11222445,0.01
48070.14028056,0.01037736
48084.16833667,0.01065421
48098.19639279,0.01009346
48112.2244489,0.01028572
48126.25250501,0.01046729
48140.28056112,0.01037736
48154.30861723,0.00953271
48168.33667335,0.01028037
48182.36472946,0.00981132
48196.39278557,0.00981132
48210.42084168,0.01009346
48224.4488978,0.01065421
48238.47695391,0.01
48252.50501002,0.00962264
48266.53306613,0.00990476
48280.56112224,0.01
48294.58917836,0.01065421
48308.61723447,0.00943396
48322.64529058,0.00971963
48336.67334669,0.00962264
48350.70140281,0.01009346
48364.72945892,0.0109434
48378.75751503,0.01226415
48392.78557114,0.00952381
48406.81362725,0.01009346
48420.84168337,0.01140187
48434.86973948,0.00943396
48448.89779559,0.00990654
48462.9258517,0.01065421
48476.95390782,0.01169811
48490.98196393,0.01320755
48505.01002004,0.01283019
48519.03807615,0.00962264
48533.06613226,0.00971963
48547.09418838,0.01
48561.12224449,0.00990654
48575.1503006,0.00971963
48589.17835671,0.01065421
48603.20641283,0.00981132
48617.23446894,0.00981132
48631.26252505,0.00953271
48645.29058116,0.00981132
48659.31863727,0.01046729
48673.34669339,0.00944444
48687.3747495,0.01102804
48701.40280561,0.01018868
48715.43086172,0.01056604
48729.45891784,0.01084112
48743.48697395,0.01185185
48757.51503006,0.01046729
48771.54308617,0.01252337
48785.57114228,0.01226415
48799.5991984,0.01028037
48813.62725451,0.01132076
48827.65531062,0.00990654
48841.68336673,0.01018868
48855.71142285,0.00981132
48869.73947896,0.01214953
48883.76753507,0.01102804
48897.79559118,0.01140187
48911.82364729,0.00971963
48925.85170341,0.00981132
48939.87975952,0.01037736
48953.90781563,0.01245283
48967.93587174,0.01028037
48981.96392786,0.01018868
48995.99198397,0.01158879
49010.02004008,0.01214953
49024.04809619,0.00990654
49038.0761523,0.01
49052.10420842,0.01161905
49066.13226453,0.01028037
49080.16032064,0.01158879
49094.18837675,0.01196262
49108.21643287,0.01
49122.24448898,0.01018868
49136.27254509,0.01046729
49150.3006012,0.01169811
49164.32865731,0.01066667
49178.35671343,0.0117757
49192.38476954,0.01037736
49206.41282565,0.01065421
49220.44088176,0.00990654
49234.46893788,0.01018868
49248.49699399,0.01113208
49262.5250501,0.01056604
49276.55310621,0.01102804
49290.58116232,0.01271028
49304.60921844,0.01121495
49318.63727455,0.01102804
49332.66533066,0.01102804
49346.69338677,0.01142857
49360.72144289,0.01084112
49374.749499,0.01046729
49388.77755511,0.01113208
49402.80561122,0.01065421
49416.83366733,0.01046729
49430.86172345,0.0117757
49444.88977956,0.01037736
49458.91783567,0.01121495
49472.94589178,0.01056604
49486.9739479,0.01196262
49501.00200401,0.01084112
49515.03006012,0.01308411
49529.05811623,0.01158879
49543.08617234,0.01140187
49557.11422846,0.01188679
49571.14228457,0.01327103
49585.17034068,0.01169811
49599.19839679,0.01226415
49613.22645291,0.01169811
49627.25450902,0.01196262
49641.28256513,0.0117757
49655.31062124,0.01327103
49669.33867735,0.01214953
49683.36673347,0.01283019
49697.39478958,0.01358491
49711.42284569,0.01364486
49725.4509018,0.01271028
49739.47895792,0.01339623
49753.50701403,0.01320755
49767.53507014,0.01271028
49781.56312625,0.01407407
49795.59118236,0.01327103
49809.61923848,0.01495327
49823.64729459,0.01580952
49837.6753507,0.01439252
49851.70340681,0.01439252
49865.73146293,0.01495327
49879.75951904,0.01626168
49893.78757515,0.0153271
49907.81563126,0.01607477
49921.84368737,0.01719626
49935.87174349,0.01719626
49949.8997996,0.01830189
49963.92785571,0.01981132
49977.95591182,0.02093458
49991.98396794,0.02186916
50006.01202405,0.02396227
50020.04008016,0.02598131
50034.06813627,0.03150943
50048.09619238,0.0364151
50062.1242485,0.04773585
50076.15230461,0.04792453
50090.18036072,0.20934581
50104.20841683,0.04747664
50118.23647295,0.05607477
50132.26452906,0.03169811
50146.29258517,0.02245283
50160.32064128,0.01757009
50174.34869739,0.01271028
50188.37675351,0.00934579
50202.40480962,0.00924528
50216.43286573,0.00603774
50230.46092184,0.00509434
50244.48897796,0.00542056
50258.51703407,0.00433962
50272.54509018,0.00429907
50286.57314629,0.00358491
50300.6012024,0.00317757
50314.62925852,0.0035514
50328.65731463,0.00598131
50342.68537074,0.00392523
50356.71342685,0.00566038
50370.74148297,0.00566038
50384.76953908,0.0046729
50398.79759519,0.00471698
50412.8256513,0.00598131
50426.85370741,0.00504673
50440.88176353,0.0054717
50454.90981964,0.00622642
50468.93787575,0.00584906
50482.96593186,0.00691589
50496.99398798,0.00766355
50511.02204409,0.00603774
50525.0501002,0.0062963
50539.07815631,0.00660377
50553.10621242,0.00754717
50567.13426854,0.00635514
50581.16232465,0.00672897
50050.0,0.06603773969562143
50055.26315789474,0.07619047793741504
50060.52631578947,0.08571429303673503
50065.78947368421,0.08571429303673503
50071.05263157895,0.08571429303673503
50076.31578947369,0.10377358993948052
50081.57894736842,0.1594202895400126
50086.84210526316,0.1884057908727158
50092.10526315789,0.3333333182575764
50097.36842105263,0.49473684703933524
50102.63157894737,0.21428571864067045
50107.89473684211,0.1414141406560555
50113.15789473684,0.11111110943322113
50118.42105263158,0.09183674216732643
50123.68421052631,0.07142857469023338
50128.94736842105,0.07142857469023338
50134.21052631579,0.06185567068817092
50139.47368421053,0.060606058657790035
50144.73684210526,0.06185567068817092
50150.0,0.062499999990234374
