Frecuencia,R,theta,X,Y
49000.0,0.00584033,66.258,0.00239278,0.00523379
49020.13422818792,0.0058327,65.568,0.00240614,0.0053325
49040.26845637584,0.00576356,65.556,0.00241329,0.00535014
49060.402684563756,0.00579122,66.6,0.00232746,0.00538447
49080.536912751675,0.00591758,66.066,0.00242473,0.0053902
49100.671140939594,0.00580266,66.0,0.00245191,0.00534871
49120.80536912752,0.00596097,66.054,0.00239278,0.00545171
49140.93959731544,0.00587085,66.54,0.00233604,0.00541022
49161.07382550336,0.00587133,65.754,0.00242521,0.0054889
49181.208053691276,0.00596192,65.334,0.00235654,0.00545552
49201.342281879195,0.0060325,65.544,0.00240232,0.00540784
49221.476510067114,0.00607684,66.054,0.00249435,0.00544074
49241.61073825503,0.00609925,66.21,0.00251772,0.00555041
49261.74496644295,0.00612405,66.27,0.00247861,0.0056062
49281.87919463087,0.00610545,65.31,0.00255109,0.00557187
49302.01342281879,0.0060592,65.874,0.00243141,0.00557759
49322.147651006715,0.00610688,66.33,0.00246908,0.0055733
49342.281879194634,0.00625852,65.82,0.00258018,0.00569585
49362.41610738255,0.00616458,66.138,0.0024996,0.00563243
49382.55033557047,0.00624517,66.462,0.00251772,0.00577262
49402.68456375839,0.00626615,65.394,0.00264122,0.00573257
49422.81879194631,0.00641683,65.826,0.00254585,0.0058389
49442.95302013423,0.00641063,65.262,0.00264551,0.00589707
49463.08724832215,0.0064216,66.432,0.00256969,0.00587609
49483.221476510065,0.00643876,66.192,0.00260212,0.00588754
49503.355704697984,0.00660184,66.162,0.0026622,0.00590661
49523.4899328859,0.00655988,66.222,0.00277378,0.00603011
49543.62416107383,0.00668862,66.336,0.00278617,0.00604156
49563.75838926175,0.00666526,65.826,0.00274946,0.0062032
49583.89261744967,0.0067468,65.448,0.00273134,0.00622228
49604.026845637585,0.00683454,66.15,0.00283004,0.00633958
49624.161073825504,0.00695422,65.166,0.00283147,0.00628617
49644.29530201342,0.00710776,65.358,0.0028782,0.00636628
49664.42953020134,0.00708821,65.82,0.00287725,0.00651124
49684.56375838926,0.00725988,65.142,0.00303556,0.00656655
49704.69798657718,0.00735238,65.178,0.00297596,0.00672582
49724.8322147651,0.0075517,65.208,0.00315239,0.00688747
49744.96644295302,0.00772813,65.508,0.00317146,0.00704387
49765.10067114094,0.0078941,65.55,0.00327827,0.00717834
49785.23489932886,0.00794703,65.574,0.00337078,0.00725177
49805.36912751678,0.00817972,65.148,0.00346233,0.00752881
49825.5033557047,0.0084148,65.202,0.00355531,0.00775674
49845.63758389262,0.00881964,65.466,0.00358011,0.00793034
49865.77181208054,0.00914294,65.544,0.00376512,0.00819212
49885.906040268455,0.00941807,65.436,0.00400737,0.00865847
49906.040268456374,0.00996262,64.83,0.00424197,0.00903565
49926.17449664429,0.0106021,64.908,0.00442222,0.00950056
49946.30872483221,0.0112286,65.022,0.00471023,0.0102358
49966.44295302013,0.0123206,64.596,0.00523761,0.0110331
49986.57718120806,0.0135604,64.806,0.0058327,0.0123463
50006.711409395975,0.015503,64.47,0.00671104,0.0140381
50026.845637583894,0.0185786,63.48,0.00828081,0.0165979
50046.97986577181,0.0239946,62.616,0.0110188,0.0213033
50067.11409395973,0.0369036,60.534,0.0181562,0.0321162
50087.24832214765,0.101281,48.72,0.0669103,0.0762105
50107.38255033557,0.0800939,-98.478,-0.0117341,-0.0792317
50127.51677852349,0.0255052,-108.498,-0.00812536,-0.0242616
50147.65100671141,0.0134736,-110.49,-0.00481036,-0.0127183
50167.785234899326,0.00835425,-111.474,-0.00302888,-0.00777438
50187.91946308725,0.0053902,-111.624,-0.0019684,-0.00489238
50208.05369127517,0.00351335,-111.774,-0.00126076,-0.00314714
50228.18791946309,0.00207998,-112.08,-0.000826839,-0.00205518
50248.32214765101,0.00113917,-113.37,-0.000476362,-0.00116206
50268.45637583893,0.000519756,-104.322,-0.000193239,-0.000393393
50288.590604026846,0.000164748,66.618,0.000144602,6.27046e-05
50308.724832214764,0.000622276,67.296,0.000277879,0.000447812
50328.85906040268,0.0010227,62.868,0.000464382,0.000912134
50348.9932885906,0.00134469,63.522,0.000561003,0.00122834
50369.12751677852,0.00162626,64.554,0.000688676,0.00147868
50389.26174496644,0.0017748,63.522,0.000818495,0.0016389
50409.395973154365,0.00194789,65.616,0.000797037,0.00178195
50429.530201342284,0.0022669,65.4,0.000902895,0.00193597
50449.6644295302,0.00241281,66.6,0.000946525,0.00221135
50469.79865771812,0.00246312,66.534,0.00102092,0.00222184
50489.93288590604,0.00269081,64.548,0.00109149,0.00246836
50510.06711409396,0.0028248,65.442,0.00108124,0.00252725
50530.20134228188,0.00292541,64.998,0.00123859,0.00256278
50550.3355704698,0.00291063,66.348,0.00129104,0.00267912
50570.469798657716,0.00303055,64.356,0.00123072,0.00283481
50590.604026845635,0.00306775,65.514,0.00132275,0.0029173
50610.73825503356,0.00315429,64.938,0.00130416,0.00298406
50630.87248322148,0.00333454,64.854,0.00133944,0.00292732
50651.0067114094,0.00332929,64.488,0.00133205,0.00308658
50671.14093959732,0.00339057,66.588,0.00147701,0.00309063
50691.275167785236,0.00341512,66.21,0.00138498,0.00320031
50711.409395973154,0.00347449,66.27,0.00140119,0.00323726
50731.54362416107,0.00363542,65.868,0.0014782,0.00331689
50751.67785234899,0.00356556,66.12,0.00143481,0.00329711
50771.81208053691,0.00366952,66.546,0.00146724,0.00337531
50791.94630872483,0.00370814,64.458,0.00160409,0.00337626
50812.08053691275,0.00377657,64.584,0.00159193,0.00346614
50832.214765100674,0.00384475,65.052,0.0015719,0.00350977
50852.34899328859,0.00375606,65.646,0.00159574,0.0034094
50872.48322147651,0.0038984,66.192,0.00154496,0.00347163
50892.61744966443,0.00382783,65.808,0.00157357,0.00358488
50912.75167785235,0.00388862,66.282,0.00168563,0.00352861
50932.88590604027,0.00395158,66.354,0.00169564,0.00355126
50953.02013422819,0.00391582,65.712,0.00170232,0.00366165
50973.154362416106,0.00405172,66.0,0.0017047,0.00358607
50993.288590604025,0.00398138,64.746,0.00174571,0.00366189
51013.42281879194,0.00406888,64.44,0.0016265,0.00369312
51033.55704697986,0.00401023,65.4,0.00175381,0.0037439
51053.69127516779,0.00416639,65.1,0.00168253,0.00366856
51073.82550335571,0.00405696,65.49,0.00171352,0.00381257
51093.959731543626,0.00418237,66.066,0.0017252,0.00383069
51114.093959731545,0.00412443,64.602,0.00175286,0.00371791
51134.22818791946,0.00424913,65.346,0.00176478,0.00386359
51154.36241610738,0.00426605,65.55,0.00174166,0.00388099
51174.4966442953,0.00419024,64.506,0.00183035,0.00382973
51194.63087248322,0.00429848,65.67,0.00170947,0.00383951
51214.76510067114,0.00426963,66.12,0.00177193,0.00379921
51234.89932885906,0.00431183,64.59,0.00178958,0.00394371
51255.033557046976,0.00435475,65.292,0.00173116,0.00387551
51275.1677852349,0.0043402,64.512,0.00173689,0.00391868
51295.30201342282,0.00430635,66.084,0.00182129,0.00385667
51315.43624161074,0.0043011,66.012,0.00179745,0.00399783
51335.57046979866,0.0042837,65.31,0.00175453,0.00395611
51355.70469798658,0.00439671,65.946,0.00189019,0.00393966
51375.838926174496,0.0043247,64.662,0.00176883,0.0039697
51395.973154362415,0.0043886,66.048,0.00178338,0.00395182
51416.10738255033,0.00435689,64.566,0.00180126,0.003948
51436.24161073825,0.00447133,65.556,0.00189973,0.00404933
51456.37583892617,0.00438073,65.808,0.00188781,0.00395802
51476.5100671141,0.00437382,65.064,0.00183798,0.00396708
51496.644295302016,0.00450733,65.508,0.00190688,0.00398329
51516.778523489935,0.00447419,64.326,0.0018108,0.00403479
51536.91275167785,0.00440648,65.094,0.00181556,0.00404266
51557.04697986577,0.00446036,65.916,0.00182153,0.00408819
51577.18120805369,0.00444415,65.706,0.00192643,0.00402001
51597.31543624161,0.00444654,65.526,0.00195815,0.00405887
51617.44966442953,0.00457409,65.406,0.00183535,0.0041106
51637.58389261745,0.00455335,65.808,0.0018468,0.00406817
51657.718120805366,0.00454786,65.904,0.00186015,0.00406626
51677.852348993285,0.00447705,64.896,0.00191165,0.00418356
51697.98657718121,0.00459507,64.512,0.00190998,0.00406006
51718.12080536913,0.0046027,64.44,0.00192452,0.00406888
51738.25503355705,0.00450662,64.74,0.00188566,0.00419334
51758.38926174497,0.00455883,64.272,0.00190163,0.00409034
51778.523489932886,0.00454667,64.344,0.00189067,0.00410798
51798.657718120805,0.00459841,65.862,0.00190116,0.00421575
51818.791946308724,0.00456432,65.694,0.00192571,0.00410703
51838.92617449664,0.00456169,64.44,0.00200678,0.00419572
51859.06040268456,0.00465849,65.616,0.00188518,0.00417355
51879.19463087248,0.00468758,65.052,0.00191522,0.00424364
51899.328859060406,0.0046511,65.76,0.00200988,0.00423411
51919.463087248325,0.00463203,65.754,0.00192428,0.00414971
51939.597315436244,0.00460985,64.302,0.00199629,0.00426701
51959.73154362416,0.00467423,65.688,0.00196911,0.0041509
51979.86577181208,0.00462368,64.302,0.00198247,0.00415805
52000.0,0.00462249,64.38,0.00199391,0.00416568
