Frecuencia,R,theta,X,Y
50100.0,0.207826,-72.654,0.062012,-0.198396
50104.08163265306,0.113709,-92.256,-0.00439456,-0.113617
50108.163265306124,0.0747685,-99.504,-0.0123902,-0.0737004
50112.244897959186,0.0547183,-103.074,-0.0125123,-0.053406
50116.32653061225,0.0426028,-105.39,-0.0112153,-0.0411532
50120.4081632653,0.0345767,-106.716,-0.0100632,-0.0331805
50124.489795918365,0.0289155,-107.94,-0.0088349,-0.0275728
50128.57142857143,0.0246278,-108.702,-0.00782019,-0.0233537
50132.65306122449,0.0211946,-109.32,-0.00700381,-0.020012
50136.73469387755,0.0185205,-109.644,-0.00619891,-0.0175248
50140.816326530614,0.0164682,-109.962,-0.00569537,-0.0153809
50144.897959183676,0.0146409,-110.202,-0.00508121,-0.0136262
50148.97959183674,0.0131074,-110.946,-0.00465015,-0.012291
50153.06122448979,0.0118218,-110.79,-0.00420383,-0.0110551
50157.142857142855,0.0106927,-111.294,-0.00390245,-0.0098992
50161.22448979592,0.00970465,-111.276,-0.00354005,-0.00892264
50165.30612244898,0.00883108,-111.6,-0.00316049,-0.00811774
50169.38775510204,0.00794417,-111.252,-0.00294115,-0.0073624
50173.4693877551,0.00731471,-111.252,-0.00265695,-0.00682452
50177.551020408166,0.00664714,-112.41,-0.00248338,-0.00612262
50181.63265306123,0.00614932,-112.416,-0.00225832,-0.00560191
50185.71428571428,0.00553325,-111.696,-0.00216295,-0.00520137
50189.795918367345,0.00505832,-112.08,-0.0019951,-0.00473598
50193.87755102041,0.00475219,-111.69,-0.00172902,-0.00440314
50197.95918367347,0.00428203,-111.312,-0.00161458,-0.00405124
50202.04081632653,0.00400355,-112.386,-0.00153065,-0.00359251
50206.12244897959,0.00365926,-111.69,-0.00137044,-0.0032673
50210.204081632655,0.00333025,-113.118,-0.00123692,-0.00311185
50214.28571428572,0.00304796,-111.354,-0.00106812,-0.00279237
50218.36734693877,0.00277807,-113.052,-0.00109673,-0.00252058
50222.448979591834,0.00251104,-110.808,-0.0009594,-0.00235654
50226.5306122449,0.00230314,-112.452,-0.000835422,-0.00200845
50230.61224489796,0.00201179,-110.112,-0.000712398,-0.00181866
50234.69387755102,0.00182057,-109.794,-0.000610355,-0.00170422
50238.77551020408,0.00163747,-113.97,-0.000627521,-0.00143624
50242.857142857145,0.00143481,-114.276,-0.000579361,-0.00136328
50246.93877551021,0.00119258,-113.01,-0.000458719,-0.00122786
50251.02040816326,0.00101949,-109.896,-0.000455858,-0.00101949
50255.102040816324,0.000989445,-110.094,-0.000267269,-0.000891689
50259.183673469386,0.000842098,-110.76,-0.000334503,-0.000737671
50263.26530612245,0.00056887,-111.024,-0.000158549,-0.000559572
50267.34693877551,0.000433208,-110.82,-0.000191689,-0.000531677
50271.42857142857,0.000406506,-114.936,-7.28373e-05,-0.000296833
50275.510204081635,0.000271441,-89.478,4.29156e-06,-0.000260355
50279.5918367347,0.000165583,-72.804,5.1141e-05,-0.000118435
50283.67346938775,9.84673e-05,-76.764,-2.56897e-05,-6.14529e-05
50287.755102040814,3.67465e-05,61.566,0.000139774,8.10926e-05
50291.836734693876,0.000262799,60.282,0.000113041,9.47122e-05
50295.91836734694,0.000345977,66.6,0.000101626,0.000213505
50300.0,0.000340911,52.986,0.000136496,0.000301095
