Frecuencia,Tiempo CH1,V1,Tiempo CH2,V2
50100.0,-5e-05,-0.1,-5e-05,0.24
50100.0,-4.996e-05,-0.1,-4.996e-05,0.24
50100.0,-4.992e-05,-0.12,-4.992e-05,0.24
50100.0,-4.9880000000000004e-05,-0.16,-4.9880000000000004e-05,0.26
50100.0,-4.9840000000000004e-05,-0.16,-4.9840000000000004e-05,0.24
50100.0,-4.9800000000000004e-05,-0.14,-4.9800000000000004e-05,0.26
50100.0,-4.9760000000000005e-05,-0.16,-4.9760000000000005e-05,0.26
50100.0,-4.9720000000000005e-05,-0.18,-4.9720000000000005e-05,0.26
50100.0,-4.9680000000000005e-05,-0.2,-4.9680000000000005e-05,0.26
50100.0,-4.964e-05,-0.22,-4.964e-05,0.24
50100.0,-4.96e-05,-0.24,-4.96e-05,0.26
50100.0,-4.956e-05,-0.24,-4.956e-05,0.2
50100.0,-4.952e-05,-0.26,-4.952e-05,0.24
50100.0,-4.948e-05,-0.26,-4.948e-05,0.26
50100.0,-4.944e-05,-0.26,-4.944e-05,0.24
50100.0,-4.94e-05,-0.26,-4.94e-05,0.24
50100.0,-4.936e-05,-0.3,-4.936e-05,0.24
50100.0,-4.932e-05,-0.32,-4.932e-05,0.22
50100.0,-4.928e-05,-0.32,-4.928e-05,0.26
50100.0,-4.924e-05,-0.36,-4.924e-05,0.22
50100.0,-4.92e-05,-0.36,-4.92e-05,0.22
50100.0,-4.9160000000000004e-05,-0.36,-4.9160000000000004e-05,0.24
50100.0,-4.9120000000000004e-05,-0.36,-4.9120000000000004e-05,0.22
50100.0,-4.9080000000000004e-05,-0.38,-4.9080000000000004e-05,0.22
50100.0,-4.9040000000000005e-05,-0.42,-4.9040000000000005e-05,0.22
50100.0,-4.9000000000000005e-05,-0.42,-4.9000000000000005e-05,0.22
50100.0,-4.8960000000000006e-05,-0.42,-4.8960000000000006e-05,0.24
50100.0,-4.892e-05,-0.42,-4.892e-05,0.22
50100.0,-4.888e-05,-0.46,-4.888e-05,0.22
50100.0,-4.884e-05,-0.44,-4.884e-05,0.22
50100.0,-4.88e-05,-0.48,-4.88e-05,0.2
50100.0,-4.876e-05,-0.48,-4.876e-05,0.22
50100.0,-4.872e-05,-0.5,-4.872e-05,0.2
50100.0,-4.868e-05,-0.5,-4.868e-05,0.22
50100.0,-4.864e-05,-0.54,-4.864e-05,0.2
50100.0,-4.86e-05,-0.56,-4.86e-05,0.2
50100.0,-4.856e-05,-0.58,-4.856e-05,0.18
50100.0,-4.852e-05,-0.56,-4.852e-05,0.18
50100.0,-4.8480000000000003e-05,-0.58,-4.8480000000000003e-05,0.18
50100.0,-4.8440000000000004e-05,-0.58,-4.8440000000000004e-05,0.2
50100.0,-4.8400000000000004e-05,-0.6,-4.8400000000000004e-05,0.18
50100.0,-4.8360000000000005e-05,-0.6,-4.8360000000000005e-05,0.16
50100.0,-4.8320000000000005e-05,-0.58,-4.8320000000000005e-05,0.18
50100.0,-4.8280000000000005e-05,-0.62,-4.8280000000000005e-05,0.16
50100.0,-4.824e-05,-0.64,-4.824e-05,0.18
50100.0,-4.82e-05,-0.66,-4.82e-05,0.18
50100.0,-4.816e-05,-0.64,-4.816e-05,0.16
50100.0,-4.812e-05,-0.66,-4.812e-05,0.16
50100.0,-4.808e-05,-0.68,-4.808e-05,0.18
50100.0,-4.804e-05,-0.66,-4.804e-05,0.18
50100.0,-4.8e-05,-0.72,-4.8e-05,0.16
50100.0,-4.796e-05,-0.72,-4.796e-05,0.16
50100.0,-4.792e-05,-0.72,-4.792e-05,0.18
50100.0,-4.788e-05,-0.74,-4.788e-05,0.14
50100.0,-4.784e-05,-0.74,-4.784e-05,0.14
50100.0,-4.78e-05,-0.78,-4.78e-05,0.14
50100.0,-4.7760000000000004e-05,-0.74,-4.7760000000000004e-05,0.12
50100.0,-4.7720000000000004e-05,-0.78,-4.7720000000000004e-05,0.12
50100.0,-4.7680000000000004e-05,-0.78,-4.7680000000000004e-05,0.14
50100.0,-4.7640000000000005e-05,-0.78,-4.7640000000000005e-05,0.12
50100.0,-4.7600000000000005e-05,-0.8,-4.7600000000000005e-05,0.14
50100.0,-4.7560000000000005e-05,-0.8,-4.7560000000000005e-05,0.1
50100.0,-4.7520000000000006e-05,-0.8,-4.7520000000000006e-05,0.14
50100.0,-4.748e-05,-0.8200000000000001,-4.748e-05,0.12
50100.0,-4.744e-05,-0.8,-4.744e-05,0.12
50100.0,-4.74e-05,-0.84,-4.74e-05,0.1
50100.0,-4.736e-05,-0.8200000000000001,-4.736e-05,0.1
50100.0,-4.732e-05,-0.84,-4.732e-05,0.1
50100.0,-4.728e-05,-0.86,-4.728e-05,0.1
50100.0,-4.724e-05,-0.84,-4.724e-05,0.1
50100.0,-4.72e-05,-0.86,-4.72e-05,0.08
50100.0,-4.716e-05,-0.88,-4.716e-05,0.08
50100.0,-4.712e-05,-0.9,-4.712e-05,0.08
50100.0,-4.708e-05,-0.88,-4.708e-05,0.06
50100.0,-4.7040000000000004e-05,-0.9,-4.7040000000000004e-05,0.08
50100.0,-4.7000000000000004e-05,-0.9,-4.7000000000000004e-05,0.1
50100.0,-4.6960000000000004e-05,-0.92,-4.6960000000000004e-05,0.04
50100.0,-4.6920000000000005e-05,-0.9,-4.6920000000000005e-05,0.08
50100.0,-4.6880000000000005e-05,-0.92,-4.6880000000000005e-05,0.04
50100.0,-4.6840000000000006e-05,-0.92,-4.6840000000000006e-05,0.04
50100.0,-4.68e-05,-0.92,-4.68e-05,0.04
50100.0,-4.676e-05,-0.96,-4.676e-05,0.06
50100.0,-4.672e-05,-0.9400000000000001,-4.672e-05,0.04
50100.0,-4.668e-05,-0.92,-4.668e-05,0.02
50100.0,-4.664e-05,-0.9400000000000001,-4.664e-05,0.02
50100.0,-4.66e-05,-0.96,-4.66e-05,0.04
50100.0,-4.656e-05,-0.96,-4.656e-05,0.04
50100.0,-4.652e-05,-0.96,-4.652e-05,0.0
50100.0,-4.648e-05,-0.96,-4.648e-05,0.04
50100.0,-4.644e-05,-0.98,-4.644e-05,0.04
50100.0,-4.64e-05,-0.96,-4.64e-05,0.0
50100.0,-4.636e-05,-0.96,-4.636e-05,0.0
50100.0,-4.6320000000000004e-05,-0.96,-4.6320000000000004e-05,0.0
50100.0,-4.6280000000000004e-05,-0.98,-4.6280000000000004e-05,0.02
50100.0,-4.6240000000000005e-05,-0.98,-4.6240000000000005e-05,0.0
50100.0,-4.6200000000000005e-05,-1.0,-4.6200000000000005e-05,0.0
50100.0,-4.6160000000000005e-05,-0.98,-4.6160000000000005e-05,0.02
50100.0,-4.612e-05,-1.02,-4.612e-05,-0.02
50100.0,-4.6080000000000006e-05,-1.0,-4.6080000000000006e-05,0.0
50100.0,-4.604e-05,-1.0,-4.604e-05,-0.02
50100.0,-4.6e-05,-1.02,-4.6e-05,-0.02
50100.0,-4.596e-05,-1.02,-4.596e-05,-0.02
50100.0,-4.592e-05,-1.02,-4.592e-05,-0.04
50100.0,-4.588e-05,-1.02,-4.588e-05,-0.06
50100.0,-4.584e-05,-1.02,-4.584e-05,-0.04
50100.0,-4.58e-05,-1.02,-4.58e-05,-0.04
50100.0,-4.576e-05,-1.02,-4.576e-05,-0.04
50100.0,-4.572e-05,-1.04,-4.572e-05,-0.06
50100.0,-4.568e-05,-1.04,-4.568e-05,-0.04
50100.0,-4.5640000000000003e-05,-1.06,-4.5640000000000003e-05,-0.06
50100.0,-4.5600000000000004e-05,-1.04,-4.5600000000000004e-05,-0.08
50100.0,-4.5560000000000004e-05,-1.02,-4.5560000000000004e-05,-0.08
50100.0,-4.5520000000000005e-05,-1.04,-4.5520000000000005e-05,-0.06
50100.0,-4.5480000000000005e-05,-1.02,-4.5480000000000005e-05,-0.06
50100.0,-4.544e-05,-1.06,-4.544e-05,-0.06
50100.0,-4.5400000000000006e-05,-1.06,-4.5400000000000006e-05,-0.06
50100.0,-4.536e-05,-1.04,-4.536e-05,-0.08
50100.0,-4.532e-05,-1.04,-4.532e-05,-0.08
50100.0,-4.528e-05,-1.04,-4.528e-05,-0.08
50100.0,-4.524e-05,-1.04,-4.524e-05,-0.06
50100.0,-4.52e-05,-1.04,-4.52e-05,-0.08
50100.0,-4.516e-05,-1.04,-4.516e-05,-0.08
50100.0,-4.512e-05,-1.04,-4.512e-05,-0.1
50100.0,-4.508e-05,-1.04,-4.508e-05,-0.1
50100.0,-4.504e-05,-1.04,-4.504e-05,-0.1
50100.0,-4.5e-05,-1.02,-4.5e-05,-0.12
50100.0,-4.496e-05,-1.04,-4.496e-05,-0.1
50100.0,-4.4920000000000004e-05,-1.04,-4.4920000000000004e-05,-0.14
50100.0,-4.4880000000000004e-05,-1.02,-4.4880000000000004e-05,-0.12
50100.0,-4.4840000000000004e-05,-1.06,-4.4840000000000004e-05,-0.14
50100.0,-4.4800000000000005e-05,-1.04,-4.4800000000000005e-05,-0.12
50100.0,-4.4760000000000005e-05,-1.04,-4.4760000000000005e-05,-0.14
50100.0,-4.4720000000000006e-05,-1.04,-4.4720000000000006e-05,-0.14
50100.0,-4.468e-05,-1.0,-4.468e-05,-0.14
50100.0,-4.464e-05,-1.04,-4.464e-05,-0.14
50100.0,-4.46e-05,-1.04,-4.46e-05,-0.16
50100.0,-4.456e-05,-1.02,-4.456e-05,-0.16
50100.0,-4.452e-05,-1.0,-4.452e-05,-0.12
50100.0,-4.448e-05,-1.02,-4.448e-05,-0.14
50100.0,-4.444e-05,-1.0,-4.444e-05,-0.16
50100.0,-4.44e-05,-1.02,-4.44e-05,-0.16
50100.0,-4.436e-05,-1.0,-4.436e-05,-0.16
50100.0,-4.432e-05,-1.02,-4.432e-05,-0.18
50100.0,-4.428e-05,-1.02,-4.428e-05,-0.16
50100.0,-4.424e-05,-1.0,-4.424e-05,-0.16
50100.0,-4.4200000000000004e-05,-1.0,-4.4200000000000004e-05,-0.18
50100.0,-4.4160000000000004e-05,-1.02,-4.4160000000000004e-05,-0.18
50100.0,-4.4120000000000004e-05,-0.98,-4.4120000000000004e-05,-0.18
50100.0,-4.4080000000000005e-05,-0.98,-4.4080000000000005e-05,-0.18
50100.0,-4.4040000000000005e-05,-0.98,-4.4040000000000005e-05,-0.18
